attempt,event_sequence,phase,source_event_exchange_time_ms,current_bid,current_ask,bbo_lookback_ms,recent_bbo_count,last_bbo_change_ms,touch_stability_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,last_direction,status
2,3667,pre_open_orders_public_gate,1784189725108,63936.0,63937.0,750,1,1784189724775,333,1,0,0,0,down,block
2,3679,pre_open_orders_public_gate,1784189727051,63930.0,63931.0,750,2,1784189726380,671,1,0,1,0,flat,pass
2,3679,post_open_orders_pre_submit_gate,1784189727051,63929.0,63930.0,750,2,1784189726380,671,1,0,1,0,flat,pass
2,3729,pre_open_orders_public_gate,1784189736209,63914.0,63917.0,750,1,1784189735930,279,1,0,0,0,down,block
2,3792,pre_open_orders_public_gate,1784189749441,63904.0,63905.0,750,1,1784189749024,417,1,0,0,0,down,block
2,3842,pre_open_orders_public_gate,1784189758551,63899.0,63900.0,750,1,1784189758197,354,1,0,0,0,down,pass
2,3842,post_open_orders_pre_submit_gate,1784189758551,63896.0,63897.0,750,1,1784189758197,354,1,0,0,0,down,pass
2,3844,pre_open_orders_public_gate,1784189759078,63896.0,63897.0,750,1,1784189758744,334,1,0,0,0,down,pass
2,3844,post_open_orders_pre_submit_gate,1784189759078,63894.0,63895.0,750,1,1784189758744,334,1,0,0,0,down,pass
2,3861,pre_open_orders_public_gate,1784189761896,63898.0,63899.0,750,1,1784189761499,397,1,0,0,0,down,block
2,3864,pre_open_orders_public_gate,1784189762294,63889.0,63890.0,750,1,1784189762029,265,1,0,0,0,down,pass
2,3864,post_open_orders_pre_submit_gate,1784189762294,63887.0,63888.0,750,1,1784189762029,265,1,0,0,0,down,pass
2,3915,pre_open_orders_public_gate,1784189776806,63893.0,63894.0,750,1,1784189776514,292,1,0,0,0,down,block
2,3916,pre_open_orders_public_gate,1784189777008,63893.0,63894.0,750,1,1784189776514,494,1,0,0,0,down,block
2,3960,pre_open_orders_public_gate,1784189787333,63884.0,63885.0,750,2,1784189786802,531,0,0,2,0,flat,pass
2,3960,post_open_orders_pre_submit_gate,1784189787333,63875.0,63876.0,750,2,1784189786802,531,0,0,2,0,flat,pass
2,4045,pre_open_orders_public_gate,1784189805690,63931.0,63932.0,750,2,1784189805094,596,0,0,2,0,flat,pass
2,4045,post_open_orders_pre_submit_gate,1784189805690,63907.0,63908.0,750,2,1784189805094,596,0,0,2,0,flat,pass
2,4124,pre_open_orders_public_gate,1784189822671,63915.0,63916.0,750,1,1784189822375,296,1,0,0,0,down,pass
2,4124,post_open_orders_pre_submit_gate,1784189822671,63913.0,63914.0,750,1,1784189822375,296,1,0,0,0,down,pass
