schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1360,591226430457642,1787450950117769065,1787450949887,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1361,591227024628701,1787450950711938925,1787450950457,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1362,591227546871493,1787450951234182603,1787450950968,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1363,591228107000074,1787450951794311265,1787450951476,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1364,591228541400711,1787450952228711585,1787450951987,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1365,591229167085210,1787450952854396722,1787450952562,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1366,591229689053625,1787450953376363950,1787450953094,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1367,591230206445992,1787450953893756813,1787450953636,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1368,591230717880912,1787450954405192242,1787450954170,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1369,591231281532418,1787450954968843467,1787450954713,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1370,591231882935069,1787450955570246195,1787450955311,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1371,591232462252716,1787450956149563678,1787450955915,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1372,591232987881582,1787450956675192035,1787450956437,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1373,591233530481825,1787450957217793399,1787450956988,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1374,591234107949470,1787450957795259504,1787450957528,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1375,591234719551217,1787450958406861957,1787450958132,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1376,591235263721414,1787450958951031783,1787450958696,1251.3,1251.4,1251.35
skhynix_c6in_latency_v2,0822T002,1377,591235820752713,1787450959508064060,1787450959230,1251.3,1251.4,1251.35
